Metro,State,math_and_programming_jobs,median_metro_value,year,city_state,lat,lon
Anchorage,AK,2390,239690.8046,2004,"Anchorage, AK",61.220018,-149.855702
Anchorage,AK,2590,263844.5402,2005,"Anchorage, AK",61.220018,-149.855702
Anchorage,AK,2510,288910.0575,2006,"Anchorage, AK",61.220018,-149.855702
Anchorage,AK,2500,305603.1609,2007,"Anchorage, AK",61.220018,-149.855702
Anchorage,AK,2760,311436.2069,2008,"Anchorage, AK",61.220018,-149.855702
Anchorage,AK,3110,315467.8161,2009,"Anchorage, AK",61.220018,-149.855702
Anchorage,AK,3320,317393.6782,2010,"Anchorage, AK",61.220018,-149.855702
Anchorage,AK,3390,318428.1609,2011,"Anchorage, AK",61.220018,-149.855702
Anchorage,AK,3500,317658.046,2012,"Anchorage, AK",61.220018,-149.855702
Anchorage,AK,3360,326930.1724,2013,"Anchorage, AK",61.220018,-149.855702
Anchorage,AK,3190,333135.3448,2014,"Anchorage, AK",61.220018,-149.855702
Anchorage,AK,3350,345762.3563,2015,"Anchorage, AK",61.220018,-149.855702
Anchorage,AK,3370,357808.908,2016,"Anchorage, AK",61.220018,-149.855702
Anchorage,AK,2080,187995.4023,2001,"Anchorage, AK",61.220018,-149.855702
Anchorage,AK,2030,211761.4943,2002,"Anchorage, AK",61.220018,-149.855702
Anchorage,AK,2140,225244.8276,2003,"Anchorage, AK",61.220018,-149.855702
Ann Arbor,MI,5740,247468.75,2000,"Ann Arbor, MI",42.266638,-83.849042
Ann Arbor,MI,6940,309675,2004,"Ann Arbor, MI",42.266638,-83.849042
Ann Arbor,MI,7240,319285.4167,2005,"Ann Arbor, MI",42.266638,-83.849042
Ann Arbor,MI,6640,304050,2006,"Ann Arbor, MI",42.266638,-83.849042
Ann Arbor,MI,7140,274635.4167,2007,"Ann Arbor, MI",42.266638,-83.849042
Ann Arbor,MI,6100,244862.5,2008,"Ann Arbor, MI",42.266638,-83.849042
Ann Arbor,MI,6230,229379.1667,2009,"Ann Arbor, MI",42.266638,-83.849042
Ann Arbor,MI,6440,230785.4167,2010,"Ann Arbor, MI",42.266638,-83.849042
Ann Arbor,MI,6710,233437.5,2011,"Ann Arbor, MI",42.266638,-83.849042
Ann Arbor,MI,7380,243527.0833,2012,"Ann Arbor, MI",42.266638,-83.849042
Ann Arbor,MI,7740,266054.1667,2013,"Ann Arbor, MI",42.266638,-83.849042
Ann Arbor,MI,7930,290554.1667,2014,"Ann Arbor, MI",42.266638,-83.849042
Ann Arbor,MI,7810,304225,2015,"Ann Arbor, MI",42.266638,-83.849042
Ann Arbor,MI,8090,318941.6667,2016,"Ann Arbor, MI",42.266638,-83.849042
Ann Arbor,MI,6950,272041.6667,2001,"Ann Arbor, MI",42.266638,-83.849042
